S.No.,Name of Indian Agent,Name of Manufacturer,%$$%Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
28,"M/s. Johnson & Johnson
Private Limited, J-1,
Ground Floor, GalaNo. 1 to
10, Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Taluka : Bhiwandi -15
(Thane - Zone 5), Pin :
421302","M/s. Creganna-Tactx Medical
1353 Dell Ave, Campbell, CA,
USA 95008
Having manufacturing
premises at
M/s. Creganna-Tactx Medical
Pte. Ltd., 8 Admiralty Street,
#07-10 Admirax, Singapore,
Central Singapore, Singapore
757438"," EMPIRA™ NC R× /PTCA
Dilatation Catheter",31-1608-MD/2014-DC,,MD-1608,31.07.2015,31.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France",%$$%,"31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France"," BioFix Spacer (Hip Spacer,
Knee Spaver and Shoulder
Spacer ) / Temporary
Implants with gentamicin
","31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France", BioFix ,"31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France", BioFix ,"31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France"," BioFix
PR , BioFix PR","31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France","/ Surgical
cements
","31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Cure Surgicals, S-12,
1st Floor, Green Park
Extn., New Delhi - 110016","M/s. Synergic Ingenierie
Medicale - S.A.R.L., ZA De L'
Angle 19370 Chanberet,
France"," BioFix VTP cement /
cement for vertebroplasty","31-666-MD/2009-DC
(Re.Reg. 01)",,MD-666,31.07.2015,15.07.2018,,
29,"M/s. Bard India Healthcare
Private Limited, 501, 5th
Floor, Hubtown Solaris,
N.S. Phadke Marg, Andheri
(E), Mumbai, Tal: Andheri
East, Mumbai-Zone5,
400069","M/s. C.R. Bard Inc., 8195
Industrial BLVD, Covington,
GA 30014, USA
Having manufacturing
premises at
M/s. C.R. Bard Inc., 289 Bay
Rd, Queensbury, NY 12804,
USA",%$$%,31-1528-MD/2014-DC,,MD-1528,03.08.2015,15.07.2018,,
29,"M/s. Bard India Healthcare
Private Limited, 501, 5th
Floor, Hubtown Solaris,
N.S. Phadke Marg, Andheri
(E), Mumbai, Tal: Andheri
East, Mumbai-Zone5,
400069","M/s. C.R. Bard Inc., 8195
Industrial BLVD, Covington,
GA 30014, USA
Having manufacturing
premises at
M/s. C.R. Bard Inc., 289 Bay
Rd, Queensbury, NY 12804,
USA"," NBIH™, GOETZ™, Semi-
Floting and Special Care
Electrode / Temporary Pacing
Electrode Catheter without
balloon (Stainless Steel)
",31-1528-MD/2014-DC,,MD-1528,03.08.2015,15.07.2018,,
29,"M/s. Bard India Healthcare
Private Limited, 501, 5th
Floor, Hubtown Solaris,
N.S. Phadke Marg, Andheri
(E), Mumbai, Tal: Andheri
East, Mumbai-Zone5,
400069","M/s. C.R. Bard Inc., 8195
Industrial BLVD, Covington,
GA 30014, USA
Having manufacturing
premises at
M/s. C.R. Bard Inc., 289 Bay
Rd, Queensbury, NY 12804,
USA"," Zucker™ and Myler™/
Temporary Pacing Electrode
Catheter without balloon
(Platinum & Nylon)
",31-1528-MD/2014-DC,,MD-1528,03.08.2015,15.07.2018,,
29,"M/s. Bard India Healthcare
Private Limited, 501, 5th
Floor, Hubtown Solaris,
N.S. Phadke Marg, Andheri
(E), Mumbai, Tal: Andheri
East, Mumbai-Zone5,
400069","M/s. C.R. Bard Inc., 8195
Industrial BLVD, Covington,
GA 30014, USA
Having manufacturing
premises at
M/s. C.R. Bard Inc., 289 Bay
Rd, Queensbury, NY 12804,
USA", Balloon-Flow Assisted,31-1528-MD/2014-DC,,MD-1528,03.08.2015,15.07.2018,,
,,,"%$$%Bipolarm Electrode, Bipolar
Balloon Pacing Electrode and
Balloon Bipolar Electrode
Catheter / Temporary Pacing
Electrode Catheter (with
balloon)",,,,,,,
29,"M/s. Clairvoyance
Consulting, No. 801, 8th
Floor, Indra Prakash
Building, 21 Barakhamba
Road, New Delhi-110001","M/s. Spectranetics
Corporation 9965 Federal
Drive, Colorado Springs,
Colorado 8092","%$$%Quick-Cross Capture
/Guidewire Retriever Catheter","31-1326-MD/2013-DC
(End. 01)",,MD-1326,03.08.2015,31.05.2017,,
29,"M/s. Boston Scientific India
Private Limited, C-41,
Ground Floor, Okhla
Industrial Area, Phase-II,
New Delhi-110020","M/s. Boston Scientific
Corporation, One Boston
Scientific Place, Natick MA
01760, USA manufacturing
preimises at
M/s. Boston Scientific Cork
Limited, Business and
technology Park, Model Farm
Road, Cork, Ireland","%$$%Embolization Particles /
Contour Embolization
Particles","31-163-MD/2006-DC
(Re-Reg. 2012) (End.
03)",,MD-163,03.08.2015,31.05.2016,,
29,"M/s. Sark Healthcare Pvt.
Ltd., J-8, I-Floor, East
Vinod Nagar, Opposite
Mayur Vihar-II, Delhi-
110091","M/s. Alpha Biotec Ltd., 7
Hatnufa Street, Kiryat Arye,
POB 3936, Petach Tikva
49510, Israel",%$$%,"31-752-MD /2009-DC
(Re. Reg. 02)",,MD-752,03.08.2015,15.07.2018,,
29,"M/s. Sark Healthcare Pvt.
Ltd., J-8, I-Floor, East
Vinod Nagar, Opposite
Mayur Vihar-II, Delhi-
110091","M/s. Alpha Biotec Ltd., 7
Hatnufa Street, Kiryat Arye,
POB 3936, Petach Tikva
49510, Israel"," Dental Implant, Abutments,
Healing caps, cover screw,
screw and screw abutments
bone fixations screw -
Titanium/ dental implant
system
","31-752-MD /2009-DC
(Re. Reg. 02)",,MD-752,03.08.2015,15.07.2018,,
29,"M/s. Sark Healthcare Pvt.
Ltd., J-8, I-Floor, East
Vinod Nagar, Opposite
Mayur Vihar-II, Delhi-
110091","M/s. Alpha Biotec Ltd., 7
Hatnufa Street, Kiryat Arye,
POB 3936, Petach Tikva
49510, Israel"," Abutments -Ziconium /
Dental Implant Systems","31-752-MD /2009-DC
(Re. Reg. 02)",,MD-752,03.08.2015,15.07.2018,,
29,"Johnson & Johnson Private
Limited, J-1, Gr. Floor,
Gala No. 1 to 10, Shree
Arinhat Complex, Tal:
Bhiwandi-15 (Thane-Zones
5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,
Chihuahua, 32575, Mexico",%$$%,"31-1144-MD/2012-DC
(Re. Reg. 01)",,MD-1418,12.08.2015,15.09.2018,,
29,"Johnson & Johnson Private
Limited, J-1, Gr. Floor,
Gala No. 1 to 10, Shree
Arinhat Complex, Tal:
Bhiwandi-15 (Thane-Zones
5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,
Chihuahua, 32575, Mexico"," PDS Plus Antibacterail
(polydioxanone) suture (w/wo
Needles) / Suture
","31-1144-MD/2012-DC
(Re. Reg. 01)",,MD-1418,12.08.2015,15.09.2018,,
29,"Johnson & Johnson Private
Limited, J-1, Gr. Floor,
Gala No. 1 to 10, Shree
Arinhat Complex, Tal:
Bhiwandi-15 (Thane-Zones
5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,
Chihuahua, 32575, Mexico"," PDS II (polydioxanone)
suture (w/wo Needles) /
Suture
","31-1144-MD/2012-DC
(Re. Reg. 01)",,MD-1418,12.08.2015,15.09.2018,,
29,"Johnson & Johnson Private
Limited, J-1, Gr. Floor,
Gala No. 1 to 10, Shree
Arinhat Complex, Tal:
Bhiwandi-15 (Thane-Zones
5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,
Chihuahua, 32575, Mexico"," Monocryl Plus Antibavterial
( poliglecaprone ","31-1144-MD/2012-DC
(Re. Reg. 01)",,MD-1418,12.08.2015,15.09.2018,,
29,"Johnson & Johnson Private
Limited, J-1, Gr. Floor,
Gala No. 1 to 10, Shree
Arinhat Complex, Tal:
Bhiwandi-15 (Thane-Zones
5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,
Chihuahua, 32575, Mexico",") Suture
(w/wo needles)
","31-1144-MD/2012-DC
(Re. Reg. 01)",,MD-1418,12.08.2015,15.09.2018,,
29,"Johnson & Johnson Private
Limited, J-1, Gr. Floor,
Gala No. 1 to 10, Shree
Arinhat Complex, Tal:
Bhiwandi-15 (Thane-Zones
5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,
Chihuahua, 32575, Mexico", Monocryl (,"31-1144-MD/2012-DC
(Re. Reg. 01)",,MD-1418,12.08.2015,15.09.2018,,
,,,%$$%poliglecaprone,,,,,,,
,,,") Suture
(w/wo needles)
",,,,,,,
,,," Coated VICRYL Plus
Antibacterial (Polyglactin ",,,,,,,
,,,"0)
suture (w/wo Needles)
",,,,,,,
,,," Coated VICRYL
(Polyglactin ",,,,,,,
,,,"0) suture Dyed
and undyed (w/wo Needles)
",,,,,,,
,,," ETHIBOND EXCEL
Polyester Suture Dyed and
Undyed (w/wo Needles) /
Suture
",,,,,,,
,,," ETHILON Nylon Suture
(w/wo Needles)
",,,,,,,
,,," Mersilene Non -
absorbable suture / suture
",,,,,,,
,,,". NUROLON Nylon Suture /
Suture
",,,,,,,
,,,". SURGICAL GUT Suture -
Plain / Chromic (w/wo
needles) / suture",,,,,,,
29,"M/s. Becton Dikinson India
Pvt. Ltd., No. 34, assisi
nagar, west Thottam,
Madhavaram, chennai - 51","M/s. Becton Dickinson and
Company (BD), 1 Becton
Drive, Franklin Lakes, NJ,
07417 USA
Having manufacturing
premises at
M/s. Nipro (Thailand)
Corporation Limited, 10/2
Moo 8 Bangnomko Sena,
Phra Nakhon Si Ayutthaya
13110, Thailand",%$$%,31-1418-MD/2013-DC,,MD-1418,12.08.2015,31.07.2018,,
29,"M/s. Becton Dikinson India
Pvt. Ltd., No. 34, assisi
nagar, west Thottam,
Madhavaram, chennai - 51","M/s. Becton Dickinson and
Company (BD), 1 Becton
Drive, Franklin Lakes, NJ,
07417 USA
Having manufacturing
premises at
M/s. Nipro (Thailand)
Corporation Limited, 10/2
Moo 8 Bangnomko Sena,
Phra Nakhon Si Ayutthaya
13110, Thailand"," BD Vacutainer Safety-Lok /
Blood Collection Sets",31-1418-MD/2013-DC,,MD-1418,12.08.2015,31.07.2018,,
29,"""M/s. Abbott Medical
Optics Pvt. Ltd.
No. 91, G.N.T. Road,
Madhavaram,
Chennai- 600110""","M/s. Abbott medical Optics
Inc, ( Formely known as
Advance medical Optics Inc.)
1700 E. St. Andrew Place,
Santa Ana, California 92705,
USA
Having manufacturing",%$$%Technis Toric Monofocal ,"31-17-MD/2006-DC (Re.
Reg 02) (End 04)",,MD-17,12.08.2015,31.05.2016,,
29,"""M/s. Abbott Medical
Optics Pvt. Ltd.
No. 91, G.N.T. Road,
Madhavaram,
Chennai- 600110""","M/s. Abbott medical Optics
Inc, ( Formely known as
Advance medical Optics Inc.)
1700 E. St. Andrew Place,
Santa Ana, California 92705,
USA
Having manufacturing","
piece intraocular Lens /
intraocular lens","31-17-MD/2006-DC (Re.
Reg 02) (End 04)",,MD-17,12.08.2015,31.05.2016,,
,,"premises at
M/s. AMO Gorningen BV,
Van Swietenlaan 5, 9728 NX
Groningen, The Netherlands",%$$%,,,,,,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom",%$$%,"31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom"," Charney / Hip
Replacement System
","31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom"," C-stem /Hip Repalcement
System
","31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom"," Elite+ Hip Replacement
System
","31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom"," LCS /Knee Replacement
System
","31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom"," Articul/eze
/HipReplacement System
","31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Private Limited, A-1/50,
Room No. 2, 100 Shed
Area, G.I.D.C., Vapi, Tal:
Pardi (Valsad) Gujarat,
India","M/s. DePuy International
Limited St. Anthony's Road,
Leeds, LS11, 8DT, United
Kingdom"," S-ROM / Hip Repalcement
System","31-132-MD/2006-DC
(Re. Reg. 03)",,MD-132,12.08.2015,30.102018,,
29,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room
No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","M/s. Depuy France SAS, 7
Allee Irene Joliot Curie, BP
256, 69801. Saint Priest
Cedex, France
Having manufacturing
premises at
M/s. Depuy (Ireland)
Loughbeg, Rangaskiddy, Co.
Cork, Ireland","%$$%Corail AMT Cementless
Femoral Stems / Hip
Repalcement System","31-1068-MD/2011-DC
(Re Reg. 01)",,MD-1068,18.08.2015,31.07.2018,,
30,"M/s. Faith Biotech Pvt. Ltd.,
E-107, Lajpat Nagar-I, New
Delhi-24","M/s. MiroVention Europe, 30
bis rue du Vieli Abreuvoir,
78100 Saint-Germain-en-
Laye, France
Having manufacturing
premises at
M/s. MicroVenation Inc., 1311
Valenica Avenue, Tusting, CA
92780, USA","%$$%ERIC™ Retrieval Device /
Retrieval Device","31-1295-MD/2013-DC
(End. 01)",,MD-1295,18.08.2015,14.04.2017,,
30,"M/s. St. Jude Medical India
Pvt. Ltd., D. No. 8-3-1/B/1,
Plot NO. No. 18 %& 19,
Laxmi Nagar, Behind T.B.","M/s. St. Jude Medical, 14901
DeVeau PL., Minnetonka, MN
USA 55345",%$$%,"31-22-MD/2006-DC (Re-
Reg. 03) (End. 04)",,MD-22,19.08.2015,30.06.2018,,
30,"M/s. St. Jude Medical India
Pvt. Ltd., D. No. 8-3-1/B/1,
Plot NO. No. 18 %& 19,
Laxmi Nagar, Behind T.B.","M/s. St. Jude Medical, 14901
DeVeau PL., Minnetonka, MN
USA 55345"," BRK-™ Transseptal
Needles /Transseptal
Needles","31-22-MD/2006-DC (Re-
Reg. 03) (End. 04)",,MD-22,19.08.2015,30.06.2018,,
,"Hospital, MCH Circle-5,
Mandal, Hyderabad Dist",,%$$%,,,,,,,
30,"M/s. Nipro India
Corporation Pvt. Ltd., Gala
No. 2, E-1, MIDC, Phase I,
Kesurdii, Tal: khandala,
District - Satara","M/s. Nipro JMI company Ltd.,
7/A Shantibagh, Dhaka 1217,
Bangladesh
Having manufacturing
premises at
M/s. Nipro JMI Company Ltd.,
Vitikandi, Gazaria,
Munshiganj, Bangladesh","%$$%Blood Tubing Sets for
Hemodialysis / Blood Tubing
Set",31-1501-MD/2014-DC,,MD-1501,19.08.2015,31.07.2018,,
30,"M/s. Becton Dickinson
India Private Limited, No.
34, Assisi Nagar, West
Thottam, Madhavram,
Chennai-51","M/s. Becton Dickinson SA,
Ctra. Mequinenza s/n 22520
Fraga, Huesca, Spain",%$$%BD Flu+ Syringe / Syringes,"31-1033-MD/2011-DC
(Re Reg.01) End 01",,MD-1033,19.08.2015,31.03.2018,,
30,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249 A,
rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai -
600056","M/s. Wilson-Cook Medical,
Inc., 4900 Bethania Station
Road, Winston- Salem, NC
27105, USA",%$$%,"31-45-MD-2006-DC (Re
Reg. 02) (End. 1)",,MD-45,19.08.2015,15.03.2016,,
30,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249 A,
rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai -
600056","M/s. Wilson-Cook Medical,
Inc., 4900 Bethania Station
Road, Winston- Salem, NC
27105, USA"," Acribat™ / Calibrated Tip
Wire Guide
","31-45-MD-2006-DC (Re
Reg. 02) (End. 1)",,MD-45,19.08.2015,15.03.2016,,
30,"M/s. Cook India Medical
Devices Pvt. Ltd., 4/249 A,
rasim Enclave,
Poonamallee High Road,
Goparasanallur,
Kattupakkam, Chennai -
600056","M/s. Wilson-Cook Medical,
Inc., 4900 Bethania Station
Road, Winston- Salem, NC
27105, USA"," Endoscopic Heoclip /
Instinct™","31-45-MD-2006-DC (Re
Reg. 02) (End. 1)",,MD-45,19.08.2015,15.03.2016,,
30,"M/s. Becton Dickinson
India Private Limited, No.
34, Assisi Nagar, West
Thottam, Madhavram,
Chennai-51","M/s. Becton Dickinson SA,
Ctra. Mequinenza s/n 22520
Fraga, Huesca, Spain",%$$%BD Flu+ Syringe / Syringes,"31-1033-MD/2011-DC
(Re Reg.01) End 01",,MD-1033,19.08.2015,31.03.2018,,
30,"M/s. Morulaa HealthTech
Pvt. Ltd., Plot No.38, First
Floor, Rajeswari Street,
Santhosh Nagar,
Kandanchavdi, Chennai -
600096","M/s. BioCer Entwicklungs-
GmbH., Ludwig-Thoma-
Straβe 36c, 95447 Bayreuth,
Germany","%$$%HaemoCer™ PLUS
Haemostatic Powder
/Haemostatic Powder",31-1628-MD/2015-DC,,MD-1628,24.08.2015,31.07.2018,,
30,"M/s. Translumina
Therapeutica LLP, Plot No.
9, Pharmacity, Selaqui,","M/s. Translumina GmbH,
Neue Rottenburger Strasse
50, 72379 Hechingen,
Germany",%$$%,31-1709-MD/2015-DC,,MD-1709,25.08.2015,15.08.2018,,
30,"M/s. Translumina
Therapeutica LLP, Plot No.
9, Pharmacity, Selaqui,","M/s. Translumina GmbH,
Neue Rottenburger Strasse
50, 72379 Hechingen,
Germany", Yukon® Choice ,31-1709-MD/2015-DC,,MD-1709,25.08.2015,15.08.2018,,
30,"M/s. Translumina
Therapeutica LLP, Plot No.
9, Pharmacity, Selaqui,","M/s. Translumina GmbH,
Neue Rottenburger Strasse
50, 72379 Hechingen,
Germany","/
Coronary Stent System (Non
-Sterile)
",31-1709-MD/2015-DC,,MD-1709,25.08.2015,15.08.2018,,
30,"M/s. Translumina
Therapeutica LLP, Plot No.
9, Pharmacity, Selaqui,","M/s. Translumina GmbH,
Neue Rottenburger Strasse
50, 72379 Hechingen,
Germany", Yukon® CC / Cobalt,31-1709-MD/2015-DC,,MD-1709,25.08.2015,15.08.2018,,
,"Dehradhun, Uttrakhand",,"%$$%Chromium Coronary Stent
System ( Non-Sterile)",,,,,,,
30,"M/s. Surgiplus, Plot No. 2,
5th Cross, Gnanaprakasam
Nagra, Pondicherry-
605008, Tamil Nadu","M/s. Leventon, S.A.U.,
C/Newton, 18-24 08635, Sant
Esteve Sesrovires-Barcelona,
Spain",%$$%,"31-742-MD /2009-DC
(Re Reg.01) (End. 01)",,MD-742,25.08.2015,30.04.2016,,
30,"M/s. Surgiplus, Plot No. 2,
5th Cross, Gnanaprakasam
Nagra, Pondicherry-
605008, Tamil Nadu","M/s. Leventon, S.A.U.,
C/Newton, 18-24 08635, Sant
Esteve Sesrovires-Barcelona,
Spain"," DOSI-FUSER / Portable
Elastomeric Infusion Device","31-742-MD /2009-DC
(Re Reg.01) (End. 01)",,MD-742,25.08.2015,30.04.2016,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA",%$$%,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA", AMS ,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA","0 Urinary Control
System Control Pump /
Device for the treatment of
Urinary Incontinence
",31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA", AMS ,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA","0 Urinary Control
System Pressure Regulating
Balloon / Device for the
treatment of Urinary
Incontinence
",31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA", AMS ,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA","0 Urinary Control
System Accessory Kit /
Device for the treatment of
Urinary Incontinence
",31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA", AMS ,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA","0 Urinary Control
System Deactivation Package
/ Device for the treatment of
Urinary Incontinence
",31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA", AMS ,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA","0 Urinary Control
System Cuff / Device for the
treatment of Urinary
Incontinence
",31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA", AMS ,31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
30,"M/s. Emergo (India)
Consulting Pvt. Ltd., H.No.
8/1 First Floor, Vasavi
colony, Kakaguda, Near
Picket, Secunderabad,
MCH Circle-7 Mandal,
Hyderabad","M/s. Americal Meidcal
Systems Inc., 10700 Bren
Road West, Minnetonka, MN
55343, USA","0 Urinary Control
System Cuff (",31-1428-MD/2013-DC,,MD-1428,25.08.2015,15.08.2018,,
