S.No.,Name of Indian Agent,Name of Manufacturer,Name of the Device,File No.,,R. C. No.,"Date of
Issue","Validity of
the
Registration
Certificate",,
,,,"Cannulating Sphincterotome
56. TRUEtome Hydra 44
Cannulating Sphincterotome /
Cannulating Sphincterotome
57. TRUEtome Jag 39
Cannulating Sphincterotome/
Cannulating Sphincterotome
58. TRUEtome Jag 44
Cannulating Sphincterotome /
Cannulating Sphincterotome
59. EndoVive Standard PEG
Kit /Gastric Feeding Devices
60. EndoVive One Step
Button- Low Profile
Percutaneous Endoscopic
Gastrostomy Kit / Gastric
Feeding Devices
61. EndoVive Low Profile
Replacement
Button/Gastrostomy Tube /
Gastric Feeding Devices
62, EndoVive Low Profile
Button Decompression Tube /
Gastric Feeding Devices
63. EndoVive Low Profile
Button Bolus Feeding Set /
Gastric Feeding Devices
64. Endo Vive Jejunal
Feeding Tube / Gastric
Feeding Devices
65. EndoVive Button Right
Angle Feeding Set /Gastric
Feeding Devices
66. EndoVive Y-Port Feeding
Adapter/ Gastric Feeding
Devices",,,,,,,
31,"M/s. Baxter (India) Pvt.
Ltd., Plot No. -70, A-26,","M/s. Gambro Lundia AB, Box
101 01, Magistratsvagen 16,","BiCart / Sodium Bicarbonate
Powder",31-1595-MD/2014-DC,,MD-1595,03.09.2015,15.08.2018,,
,"Rama Road Industrial
Area, New Delhi - 110015","SE-220 10 Lund, Sweden",,,,,,,,
31,"M/s. Zimmer India Pvt. Ltd.,
14th Floor, Tower 5B, DLF
Cyber Terrace, DLF Cyber
City, Gurgaon - 122002,
Haryana","M/s. Zimmer Spine, Cite
Mondiale 23, Parvis des
Chartrons, 33080 Bordeaux-
France","1. Fidji Cervical / Interbody
Implant
2. Fidji Lombaire ( Lumber) /
Interbody Implant
3. Universal Clamp / Spinal
Osteosynthesis Implants
4. Uni Wallis / Non Infusion
Implants
5. Instinct Java System /
Spinal Osteosynthesis
Implants ( Non-Sterile) / Rods
6. Instinct Java System /
Spinal Osteosynthesis
Implants ( Non-Sterile) /
Blocker
7. Instinct Java System /
Spinal Osteosynthesis
Implants ( Non-Sterile) /
Screw
8. Instinct Java System /
Spinal Osteosynthesis
Implants ( Non-Sterile) /
Connector
9. Instinct Java System /
Spinal Osteosynthesis
Implants ( Non-Sterile) / Hook","31-1043-MD/2011-DC
(Re Reg. 01)",,MD-1043,03.09.2015,15.08.2018,,
31,"M/s. India Medtronic Pvt.
Ltd., Plot No. 609 survey/
Shed-188 (Part),
Chamunda copund,
Kasheli Village Bhiwandi
Dist Thane-421301,
Taluka: Bhiwandi-15,
District : Thane Zone-5","M/s. Medtronic CoreValve
LLC, 1851 E, Deere Ave,
Santa Ana, CA 92705 USA
Having manufacturing
premises at
M/s. Medtronic Ireland,
Parkmore West, Galway,
Ireland","1. ACCUTRAK / Delivery
Catheter Systme (For
Transcatheter Aortic Valve
Implant System)
2. EnVeo R / Delivery
Catheter System ( For
Transcatheter Aortic Valve
Implant System)",31-1663-MD/2015-DC,,MD-1663,07.09.2015,15.08.2018,,
31,"M/s. India Medtronic Pvt.
Ltd., Plot No. 609 survey/
Shed-188 (Part),","M/s. Medtronic CoreValve
LLC, 1851 E, Deere Ave,
Santa Ana, CA 92705 USA","1. Corevalve System /
Transcatheter Aortic Valve
(TAV)",31-1662-MD/2015-DC,,MD-1662,07.09.2015,15.08.2018,,
,"Chamunda copund,
Kasheli Village Bhiwandi
Dist Thane-421301,
Taluka: Bhiwandi-15,
District : Thane Zone-5","Having manufacturing
premises at
M/s. Medtronic Mexico S. de
R.L. de CV, Avenida Paseo
Cucapah 10510 EL Lago,
C.P. 22210 Tijuana, Baja
California, Mexico","2. Corevalve Evolut R System
/ Transcatheter Aortic Valve
(TAV)",,,,,,,
32,"M/s. Edwards Lifesciences
(India) Pvt. Ltd., K Square,
The Integrated Park,
(DHL), 1st Floor, Cabin
No.1, S. No., 53/3, 53/a, B,
C, 34/1 to 9, 35/1A, 1B,
Phase - I , Vill, Kurund, Tal:
Bhiwandi-16 (Thane-Zone
5) - 421101","M/s. Edwards Lifesciences
LLC, One Edwards Way,
Irvine CA 92614, USA","Transcatheter Heart Valve
with Transfemoral Delivery
System","31-93-MD/2006-DC (Re
Reg.02) End.01",,MD-93,07.09.2015,15.03.2016,,
32,"M/s. Med-EL India Pvt.
Ltd., 505, Fifth Floor,
Pragati House, 47-48,
Nehru Place, New Delhi-
110019","M/s. MED-EL
Elektromedizinische Gerate
GmbH, MED-EL Worldwide
Headquarters, Furstenweg
77a, Innsbruck, A-6020,
Austria","1. Mi 1200 SYNCHRONY /
Cochlear Implant System
2. Mi 1200 SYNCHRONY /
Auditory Brainstem Implant
System
3. Mi1000 CONCERTO /
Auditory Brainstem Implant
System","31-572 MD/08-DC (Re
Reg.02) 2015 (End 01)",,MD-572,08.09.2015,30.04.2018,,
32,"M/s. Boston Scientific India
Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Horizons International
Corporation, PO Box-213-
3006, Zona Franca Metro,
Barreal De Hereia, Costa
Rica
Having manufacturing
premises at
M/s. Horizons International
Corporation, Zeta Zona
Franca, La Valencia de
Heredia, Heredia, Costa Rica","Twister Plus / Rotatable
Retrieval Device",31-1664-MD/2015-DC,,MD-1664,08.09.2015,31.08.2018,,
32,M/s Becton Dickinson India,M/s. Becton Dickinson,BD Q-Syle (Luer Access Split,31-84-MD/2006-DC (Re-,,MD-84,08.09.2015,30.09.2018,,
,"Pvt. Ltd. No. 34, Assisi
Nagar, West thottam,
Madhavaram, Chennai-51","Infusion Therapy Systems
Inc., 9450, South street,
Sandy, Utah, 84070, USA","Septum) / Intravascular
Access Device",Reg. 03),,,,,,
32,"M/s SpineMed Systems
Pvt. Ltd.,
501 Fifth Floor, 90,
Mansarover Bldg , Nehru
Place,
New Delhi-110019","M/s. NovaBone Products,
LLC, 13510 NW US Highway
441, Alachua, FL 32615 USA","1. NovaBone Resorbable
Bone Graft Substitute-
Particulate
2. NovaBone Resorbable
Bone Graft Substitute- Putty
3. NovaBone Resorbable
Bone Graft Substitute-
Porous","31-869-MD /2010-DC
(Re Reg. 01)",,MD-869,11.09.2015,31.08.2018,,
32,"M/s. Johnson& Johnson
Pvt. Ltd., J-1, Gr. Floor,
Gala No. 1 to 10 Shree
Arihant Complex, Reti
Bunder Road, Kalher,
Bhiwandi, Tal: Bhiwandi-
15, (Thane zone 5), Pin:
421302","M/s Ethicon Inc, Route 22
west, Somerville, New Jersey
08876-0151, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Avenida De
Las Torres No. 7125, Ciudad,
Juarez, Chihuahua, Mexico
C.P., 32580","Gynecare thermachoice III /
Uterine Ballon Therapy
System","31-1106-MD/2012-DC
(Re Reg. 01)",,MD-1106,11.09.2015,15.10.2018,,
32,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Ethicon Endo-Surgery
LLC., 475 Calle C.
Guaynabo, Puerto Rico
00969, USA
Having manufacturing
premises at
M/s. Ethicon Endo-Surgery
S.A. de C.V., Avenida de las
Torres 7125, Colonia
Salvarcar 118, 32580 Ciudad
Juarez, Chihuahua, Mexico","Endopath Echelon™ /
Endoscopic Lineq Cutter
Reloads","31-1054-MD/2011-DC
(Re. Reg. 01)",,MD-1054,11.09.2015,31.03.2018,,
32,"M/s. Emergo (I) Consulting
Pvt. Ltd., 8/1, First Floor,
Vasavi Colony, Kakaguda,
Nera Picket Secundrabad,
MCH Circle-7 Mandal,","M/s. Conformis Inc., 28
Crosby Drive Bedford, MA
01730 USA","1. iTotal Cruciate Retaining
Knee Replacement System,
Right Knee / Left Knee G2
Impalnt Kit / Knee
Replacement System",31-1561-MD/2014-DC,,MD-1561,11.09.2015,31.08.2018,,
,"Hyderabad (Dist)-500009
(A.P.)",,"2.Femora Implant (CoCrMo)
/ Knee Replacement System
3. Tibial Tray Impant
(CoCrMo)/ Knee
Replacement System
4. Poly Insert (UHMWPE) /
knee Replacement System
5. iTotal Patella Implant
(UHMWPE) / Knee
replacement system",,,,,,,
32,"M/s. Carl Zeiss India
(Bangalore) Pvt. Ltd., Plot
No.3, Jigani LINK Road,
Bommsandra Industrial
Area, Bangalore - 560099","M/s. Carl Zeiss Meditec AG,
Goeschwitzeratrasse 51-52,
07745 Jena, Germany
Having manufacturing
premises at
M/s. Carl Zeiss Meditec AG,
Max-Dohrn-strasse 8-10,
10589 Berlin, Germany","1. CT ASPHINA 509 MP /
Posterior Chamber
Intraocular Lens
2. CT ASPHINA 409 MP /
Posterior Chamber
Intraocular Lens
3.AT LISA TRI TORIC 939M /
Posterior Chamber
Intraocular Lens
4. AT LISA TRI TORIC 939M
/ Posterior Chamber
Intraocular Lens","31-1202-MD/2012-DC
(End. 01)",,MD-1202,15.09.2015,29.02.2016,,
32,"M/s. B. Braun Medical
(India) Pvt. Ltd., Bldg No.
B, Gala NO. 1-10, Prerna
Complex, Anjur Phata,
Dapoda Road, At Val
Village, Tal: Bhiwandi
(Thane-Zone-5)-421302","M/s. B. Braun Melsungen AG,
Carl-Braun-Straβe, 1, 34212
Melsungen Germany
Having manufacturing
premises at
M/s. Hakko Co. Ltd., 149 O-
aza Isobe, Chikuma Shi,
Nagano, 389-0806, Japan","Stimuplex®A Needles /
Needles & catheter kits for
plexus anaesthesia","31-88-MD/2006-DC (Re
Reg. 03)",,MD-88,15.09.2015,31.08.2018,,
33,"M/s. Johnson & Johnson
Private Limited, J-1, Gr.
Floor, Gala No. 1 to 10,
Shree Arinhat Complex,
Tal: Bhiwandi-15 (Thane-
Zones 5), Pin: 421302","M/s. Ethicon Inc., Route 22
West, Somerville, New Jersey
08876, USA
Having manufacturing
premises at
M/s. Ethicon Inc., Calle
Durango No. 2751, Lote
Bravo, Ciudad Juarez,",TFE Polymer Pledgets,"31-1144-MD/2012-DC
(Re. Reg. 01) (End. 01)",,MD-1144,15.09.2015,15.09.2018,,
,,"Chihuahua, 32575, Mexico",,,,,,,,
33,"M/s. Maquet Medical India
Pvt. Ltd., 201 & 202 2nd
Floor, Deenar Bhawan,
Nehru Place, New Delhi","M/s. Pulsion Medical System
SE, Hans-Riedl-Strabe 17, D-
85622 Feldkirchen, Germany","1. Picco Catheter / Arterial
Blood Pressure Catheter
2. Guide Wire / Peripheral
Vascular Guide Wire",31-1574-MD/2014-DC,,MD-1574,15.09.2015,14.09.2018,,
33,"M/s. Johnson & Johnson
Pvt. Ltd., J-1 Ground Floor,
Gala No 1 to 10, Shree
Arihant Complex, Reti
Bunder Road, Kalher,
Bhiwandi, Tal: Bhiwandi -
15, Maharashtra - 421302","M/s. Codman & Shurtleff,
Inc., 325 Paramount Drive,
Raynham, Massachusetts,
02797-0350, USA
Having manufacturing
premises at
M/s. Lake Region
Medical, 340 Lake Hazeltine
Drive, Chaska, MN 55318-
1029, USA","Enterprise / Vascular
Reconstruction Device and
Delivery System","31-706-MD /2009-DC
(Re-Reg 02)",,MD-706,21.09.2015,31.12.2018,,
33,"M/s.Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor
Poonamallee High Road,
Kilpauk, Chennai-600010","M/s. Covidien Iic, 15
Hampshire Street, Mansfield,
MA 02048, USA
Having manufacturing
premises at
M/s. Covidien, 60 Middletown
Avenue, North Haven, CT
06473, USA","Endo GIA™ Reinforced
Reload with Tri-Staple™
Technology / Staple","31-949-MD/2011-DC
(Re-Reg. 02) End. 02",,MD-949,21.09.2015,30.06.2018,,
33,"M/s. Halyard Health India
Pvt. Ltd., Gat Nos., 178,
179 and 180, village -vadu,
Khurd, Taluka- Haveli
District- Pune 412207
Maharashtra, India","M/s. Halyard Health Inc.,
5405 Windward Parkway
Alpharetta GA 30004 USA
Having manufacturing
premises at M/s.Avent S. de
R.L. de C.V., Carretera
International Salida Norte No.
1053, Magdalena, Sonora,
Mexico CP 84160 USA","1. Closed Suction System for
Adults Double Swivel Elbow
Configuration / Halyard
2. Turbo-Cleaning Closed
Suction System For Adults
Double Swivel Elbow
Configuration / Halyard
3. Closed Suction System For
Neonates Pediatrics ""Y""
Adapter Configuration /
Halyard
4. Multi Access Port Closed
Suction System For Adults
Double Swivel Elbow
Configuration / Halyard",31-1671-MD/2015-DC,,MD-1671,29.09.2015,15.09.2018,,
,,,"5. Multi Access Port Closed
Suction System For Adults
Double Swivel Elbow
Configuration Wet Pak /
Halyard
6. Multi Access Port
Replacement Catheter For
Adults / Halyard
7. Seal Cassette / Halyard
8. Mini Bal Sampling Catheter
/Halyard",,,,,,,
33,"M/s. Vascular Concepts
Ltd., No. 19 GR Floor, S.V.
Complex, Bellary Road,
Hebbal, Bangalore 560024","M/s. Eucatech AG, Gottlieb-
Daimler-Str.2 79618
Rheinfelden Germany","EucaLimus / Balloon
Expandable Stent System (
Sirolimus eluting stent)",31-1642-MD/2015-DC,,MD-1642,29.09.2015,15.09.2018,,
33,"M/s. Span Healthcare
Private Limited, Columbus
Business Chambers, #17,
7th Temple Street, 15th
Cross Malleswaram,
Bangalore -560003","M/s. Haemonetics
Corporation, 400 Wood Road,
Braintree, MA, 01284, USA
Having manufacturing
premises at
M/s. Haemonetics
Manufacturing Inc., 1630
Industrial Park Street, Covina,
CA, 91722, USA","1. AutoStop In-process Filter
System for Buffy Coat
Platelets / Blood Filter
Systems
2. Post-process Filter System
For Platelets / Blood Filter
Systems","31-1578-MD/2014-DC
(End. 01)",,MD-1578,29.09.2015,15.07.2018,,
33,"M/s. Span Healthcare
Private Limited, Columbus
Business Chambers, #17,
7th Temple Street, 15th
Cross Malleswaram,
Bangalore -560003","M/s. Haemonetics
Corporation, 400 Wood Road,
Braintree, MA, 01284, USA
Having manufacturing
premises at
M/s. Haemonetics
Manufacturing Inc., 1630
Industrial Park Street, Covina,
CA, 91722, USA","1. Leukotrap RC / Blood Filter
Systems
2. Leukotrap RCPL / Blood
Filter Systems
3. Leukotrap WB / Blood
Filter Systems","31-1578-MD/2014-DC
(End. 03)",,MD-1578,29.09.2015,15.07.2018,,
33,"M/s. Span Healthcare
Private Limited, Columbus
Business Chambers, #17,
7th Temple Street, 15th
Cross Malleswaram,","M/s. Haemonetics
Corporation, 400 Wood Road,
Braintree, MA, 01284, USA
Having manufacturing
premises at","1. Leukotrap RC PL System /
Blood Filter Systems
2. Leukotrap RC System /
Blood Filter Systems","31-1578-MD/2014-DC
(End. 05)",,MD-1578,29.09.2015,15.07.2018,,
,Bangalore -560003,"M/s. Haemonetics
Manufacturing Inc., 1630
Industrial Park Street, Covina,
CA, 91722, USA",,,,,,,,
33,"M/s. Medihelp Healthcare
Pvt. Ltd., G-10, Ground
Floor, Aggarwal Bhawan,
35-36, Nehru Place, New
Delhi - 110019","M/s. First Care Products Ltd.,
11, Galgalei Haplada Street,
Herzliya, HaMerkaz 4672211,
Israel","Emergency Bandages /
Dressing",31-1500-MD/2014-DC,,MD-1500,29.09.2015,31.08.2018,,
34,"M/s. Johnson and Johnson
Ltd., A-1/50, Room No.2,
100 Shed area, G.I.D.C,
Vapi, Tal:Pardi (Valsad),
Gujarat","M/s. Depuy Mitek, 325
Paramount Drive, Raynham,
MA 02767, USA
Having manufacturing
premises at
M/s T.A.G Medical Products
Corporation, Kibbutz Gaaton
25130, Israel","Bristow Latarjet Instability
Shoulder - Screw Top Hat
(Non-Sterile) / Shoulder
Replacement System","31-1116-MD/2012-DC
(Re Reg. 01)",,MD-1116,29.09.2015,15.10.2018,,
34,"M/s. Johnson & Johnson
Pvt. Ltd., A-1/50, Room
No., 100 Shed Area,
G.I.D.C., Vapi, Tal: Pardi
(Valsad), Gujrat, India","M/ s Depuy International
Limitd, St. Anthony's Road
Leeds, UK LS 11 8DT
Having manufacturing
premises at
M/s Depuy (Ireland),
Loughbeg, Ringaskiddy,
Cork, Ireland","Sigma CR-150 Cemented /
Knee Replacement System","31-674-MD/2009-DC
(RC-reg.02)",,MD-674,29.09.2015,14.01.2019,,
34,"M/s. Johnson & Johnson
Ltd., J-1, Gr. Floor, Gala
No. 1 to 10 Shree Arihant
Complex, Reti Bunder
Road, Kalher, Bhiwandi,
Tal: Bhiwandi-15 (Thane-
Zone5) Pin: 421302","M/s. Cordis Cashel, Cahir
Road, Co. Tipperary, Ireland
Having manufacturing
premises at M/s. Cordis de
Mexico S.A de C.V, Calle
Circutio Interior Norte # 1820,
Parque Industral Salvarcar,
Ciudad Juarez, Chihuahua,
CP32574, Mexico","1. TrapEase / Permanent
Vena Filter & Introduction Kit
2. OptEase / Retrievable
Vena Cava Filter &
Introduction Kit","31-881-MD/2010-DC
(Re-Reg. 01) (End 01)",,MD-881,29.09.2015,14.04.2017,,
34,"M/s. Jonson & Johnson
Pvt. Ltd., J-1, Gr. Floor,
Gala No.1 to 10, Shree
Arihant Complex, Reti","M/s. Biosense Webster, Inc.
3333 Diamond Canyon Road,
Diamond Bar, CA USA 91765
Having manufacturing","1. EZ Steer, EZ Steer DS, EZ
Steer NAV and EZ Steer NAV
DS / Electrophysiology
Bidirectional Catheter","31-119-MD/2006-DC
(Re Reg. 02) (End.01)",,MD-119,29.09.2015,31.05.2016,,
,"Bunder Road, Kalher,
Bhiwandi, Tal: Bhiwandi-15
( Thane-Zone 5), Pin :
421302","premises at
M/s. Biosense Webster, Inc.
Circuito Interior Norte, No.
1820, Parque Industrial
Salvacar Juarez, Chihuahua,
Mexico 32599","2. EZ Steer ThermoCool &
ThermoCool NAV /
Electrophysiology
Bidirectional Catheter
3. ThermoCool SmartTouch
Bi-directional & Uni-
directional / Electrophysiology
Bidirectional Catheter
4. PentaRay™ NAV and NAV
eco / High Density Mapping
Catheter
5. Halo XP and Halo XP with
auto ID / Electrophysiology
Catheter
6. Celsius FLTR /
Electrophysiology Catheter
7. DecaNav /
Electrophysiology Catheter
8. ThermoColl Smarttouch SF
Uni-directional and Bi-
directional / Navigation
Catheter",,,,,,,
34,"M/s. Emergo (India)
Consulting Private Limited,
H.No. 8/1 First Floor,
Vasavi Colony, Kakaguda,
Near picket,
Secunderabad, MCH
Circle-7 Mandal,
Hyderabad Dist. -500009","M/s. Kaneka Corpration, 3-
18, 2-Chome, Nakanoshima,
Kita-Ku, Osaka City, Osaka,
530-8288, Japan
Having manufacturing
premises at
M/s. Kaneka Medix
Corporation Kangawa Plant
225-1, Aza Deguchi,
Yamakita, Yamakita-machi,
Ashigara-kami-gun,
Kanagawa, 258-0113, Japan",ED Coil / Electro Detach Coil,31-1606-MD/2014-DC,,MD-1606,29.09.2015,15.09.2018,,
34,"M/s.Covidien Healthcare
India Pvt. Ltd., No. 156,
Doshi Towers, 6th Floor","M/s. Covidien Iic, 15
Hampshire Street, Mansfield,
MA 02048, USA","Lapro-Clip™ Auto Suture™
Absorabable Ligating Clip
Cartridge / Ligating Clip","31-949-MD/2011-DC
(Re-Reg. 02) End. 01",,MD-949,29.09.2015,30.06.2018,,
,"Poonamallee High Road,
Kilpauk, Chennai-600010","Having manufacturing
premises at
M/s. Covidien, 60 Middletown
Avenue, North Haven, CT
06473, USA",,,,,,,,
34,"M/s. Bausch and Lomb
(India) Pvt. Ltd., Plot no.13,
Sector-34, Gurgaon","M/s. Croma-Pharma
Gesellschaft m.b.H.
Industriezeile 6, 2100
Leobendorf, Austria","1. VISICROM 2% /
Viscoelastic Solution for
Intraocular Use
2. NEOCROM cohesive /
Viscoelastic Solution for
Intraocular Use
3. MEGACROME /
Viscoelastic Solution for
Intraocular Use
4. EYEFILL S.C. /Viscoelastic
Solution for Intraocular Use
5. CORNEA PROTECT /
Viscoelastic Solution for
Intraocular Use",31-1670-MD/2015-DC,,MD-1670,29.09.2015,15.09.2018,,
34,"M/s. B. Braun Medical
(India) Pvt. Ltd., Bldg. No.
Gala No. 1-10, Prerna
Complex, Anjur Phata,
Dapoda Road, At Val
Village-B, Tal: Bhiwandi
(Thane-Zone5) Pin :
421302","M/s. B. Braun Hospicare Ltd.,
Collooney, Co. Sligo, ireland","1. Amorphous Hygrogel
/Askina Gel
2. Alginate-CMC wound
dressing /Askina Sorb
3. Hydrophilic Foam Dressing
/ Askina Foam, Askina Foam
Border, Askina Foam
Sacrum, Askina Heel
4. Hydrophilic Foam Cavity
Dressing / Askina Foam
Cavity and Askina Cavity
Strips
5. Hydrophilic Foam Trachea
Dressing / Askina Trachea
6. Soft Slilicone Wound
Contact Layer / Askina Silnet
7. Foam Dressings with
Silicone Adhesive/ Askina
Dressil; Askina Dressil
Border; Askina Dressil",31-1435-MD/2013-DC,,MD-1435,29.09.2015,15.09.2018,,
,,,"Sacrum
8. Skin Barrier Spray / Askina
Barrier Film Spray
9. Skin Barrier Swabs /
Askina Barrier Film Swab
10. Protectice Skin barrier
Paste / Superfiller
11. Adhescive and Residue
Remover / Adhesive
Remover",,,,,,,
34,"M/s. Allergan Healthcare
India Private Limited Shri
Arhiant Comp. Bldg. No. H-
1, Gala No. 10 Tjame-
Bhiwandi Road, Distt.
Thane, Bhiwandi-421 302
Maharashtra","M/s Allergan, Route de
Promery, ZA Pre Mairy,
74370 Pringy, France","Hyaluronic Acid 20 md+
Lidocaine Hydrochloride 3 mg
Prefilled Syringe / Juvederm
Voluma with Lidocaine","31-483-MD/2008-DC
(Re. Reg. 02) (End. 01)",,MD-483,29.09.2015,31.03.2018,,
34,"M/s. Coral Healthcare Pvt.
Ltd., 71 B.R.B. Basu Road,
5th Floor, Room No. A-524,
Kolkata-700001","M/s. Dongkok Vietnam Co.
Ltd., No. 10, Thuy Van
Industial Zone, Viet Tri City,
Phu Tho Province Vietnam","Natural Rubber Condoms
(Finished)",31-1661-MD/2015-DC,,MD-1661,29.09.2015,15.09.2018,,
35,"M/s. Boston Scientific India
Pvt. Ltd. C-41 Ground
Floor, Okhla Industrial Area
Phase - II, New Delhi-20","M/s. Boston Scientific
Corporation, 300 Boston
Scientific Way, Marlborough,
MA 01752, USA
Having manufacturing
premises at
M/s. Boston Scientific
Corporation, 780 Brookside
Drive, Spencer, IN 47460
USA","SpyScope DS AccEss and
Delivery Catheter / catheter","31-1634-MD/2015-DC
(End. 01)",,MD-1634,29.09.2015,15.08.2018,,
35,"M/s. Becton Dickinson
India Pvt. Ltd., No34 Assisi
Nagar, West Thottam
Madhavram Chennai-51","M/s. Becton Dickinson
Infusion Therapy system Inc.,
9450 south State Street,
Sandy Utah 84070, USA
Having manufacturing
premises at
M/s. Becton Dickinson","1. Insyte-W/ Catheter
2. BD Arterial Cannula / IV
Cannula","31-1180-MD/2012-DC
(Re. Reg. 01)",,MD-1180,29.09.2015,15.03.2019,,
,,"Medical (S) Pte, Ltd., 30 Tuas
Avenue 2, Singapore 639461",,,,,,,,
35,"M/s. Bard India Healthcare
Pvt. Ltd.,501, 5th floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai, Tal: Andheri East
(Mumbai-zone5), Pin:
400069","M/s. Angiomed GmbH & Co.,
Medizintechnik KG,
Wachhausstrasse, 6, D-
76227, Karlsruhe, Germany","1. Ostycut Bone Biopsy
Needle / Bone Biopsy Needle
2. Initial Puncture Needle /
Biopsy Needle","31-190-MD/2006-DC
(Re Reg.02)(End-02)",,MD-190,29.09.2015,30.09.2016,,
35,"M/s. Bard India Healthcare
Pvt. Ltd.,501, 5th floor,
Hubtown Solaris, N.S.
Phadke Marg, Andheri (E),
Mumbai, Tal: Andheri East
(Mumbai-zone5), Pin:
400069","M/s. Bard Access Systems.,
Inc., 605 North 5600 West
Salt Lake City, UT USA
84116
Having manufacturing
premises at
M/s. Bard Shannon Ltd., San
Geronimo Industrial Park Lot
# 1, Road # 3, KM 79.7,
Humacao, Puerto Rico 00791","Broviac CV Catheter / Central
Venous Catheter","31-1562-MD/2014-DC
(End. 01)",,MD-1562,29.09.2015,30.04.2018,,
35,"M/s. Boston Scientific India
Pvt. Ltd., C-41 Ground
Floor, Okhla Industrial Area
Phase-II, New Delhi-20.","M/s. NeoMetrics Inc., 2605
Fernbrook Lane-Sute J,
Plymouth, MN USA 55447","NovaGold High Performance
Guidewire / Guide wire",31-1560-MD/2014-DC,,MD-1560,29.09.2015,15.09.2018,,
35,"M/s. India Medtronic Pvt.
Ltd. Plot No. 609,
Survey/Shed-188 (Part),
Chamunda Comp., Kasheli
Village, Dist. Thane,
Bhiwandi 421301","M/s. Medtronic Inc, 710
Medtronic Parkway N.E.
Minneapolis, MN 55432, USA
Having manufacturing
premises at
M/s. Medtronic Mexico, S.De
R.L. de CV, Av. Paseo
Cucupah 10510 EI Lago, CP
22210 Tijuana, Baja
Californiam, Mexico","Rapid Exchange Balloon
Dilatation Catheter","31-381-MD/2007-DC
(Re Reg.02) (Part-I)
(End.01)",,MD-381,06.10.2015,31.03.2018,,
35,"M/s. Novo Nordisk India
Pvt. Ltd., Plot No.32, 47-
50, EPIP Area, Whitefield,
Bangalore-560066","M/s. Novo Nordisk A/S, Novo
Alle, DK-2880 Bagsvaerd,
Denmark
Having manufacturing
premises at","NovoFine®31G / Disposable
Hypodermic Needle",31-1645-MD/2015-DC,,MD-1645,06.10.2015,15.09.2018,,
,,"M/s. Nipro Medical Industries
ltd., Tatebayashi plant 2-19-
64, Matsubara, Tatebayashi-
Shi, Gumna: 374-8518 Japan",,,,,,,,
35,"M/s. Abbott Healthcare Pvt.
Ltd., 4 Corporate Park,
Sion Trambay Road,
Chembur, Mumbai-400071
Maharashtra","M/s. Abbott Vascular, 3200
Lakeside Drive, Santa Clara,
California 95054, USA
Having manufacturing
premises at
M/s. Abbott Vascular, Cashel
Road, Clonmel, County
Tipperary, Ireland","XIENCE Alpine™ RX
Everolimus Eluting Coronary
Stent System / Everolimus
Eluting Coronary Stent
System","31-306-MD/07-DC (Re
Reg.02) End.05",,MD-306,13.10.2015,31.05.2016,,
35,"M/s. Accredited
Consultants Pvt. Ltd., D-29,
fisry Floor, Acharya
Niketan Market, Mayur
Vihar, Phase-1, Delhi –
110091","M/s. Orthogem Limited,
Biocity, Pennyfoot Street,
Nottingham, ND 1, 1GF, UK","1. Tripore / Tripore TCP /
Bone Graft
2. Tripore / Tripore Cell Mix/
Bone Graft","31-1411-MD/2013-DC
(End.01)",,MD-1411,13.10.2015,15.09.2017,,
35,"M/s. Manju Enterprises Pvt.
Ltd., 28, 1st Floor, Jia
Sarai, Near IIT Gate, New
Delhi-110016","M/s. Conic Vascular
Technology SA, Carlo
Maderno 23, CH-6901
Lugano, Switzerland","1. Clever / PTCA Balloon
Catheter
2. Conic One / PTCA Balloon
Catheter",31-1623-MD/2014-DC,,MD-1623,13.10.2015,15.09.2018,,
36,"M/s. Covidien Healthcare
India Pvt. Ltdd.,No. 156,
Doshi Towers,
Poonamallee High Road,
Kilpauk, Chennai - 600010","M/s. Covidien LLC, 15
Hampshire Street, Mansfield,
MA 02048, USA
Having manufacturing
premises at
M/s. Covidien Manufacturing
Solutions, S.A. Edificio B20
Calle# 2 Zona Franca Coyol
Alajuela, Costa Rica","1. Chronic Catheter Kit /
Palindrome™
2. H Chronic Catheter Kit /
Palindrome™
3. SI Chronic Catheter Kit /
Palindrome™
4. HSI Chronic Catheter Kit /
Palindrome™
5. Chronic Carbothane
Catheter Kit / Mahurkar™
6. Precision Chronic Catheter
Kit / Palindrome™
7. Precision H Chronic
Catheter Kit / Palindrome™
8. Precision HSI Chronic
Catheter Kit / Palindrome™","31-1228-MD/2012-DC
(Re.Reg 01) (End.01)",,MD-1228,13.10.2015,31.05.2018,,
,,,"9. Precision SI Chronic
Catheter Kit / Palindrome™
10. RT Chronic Catheter Kit /
Palindrome™
11. Precision RT Chronic
Catheter Kit / Palindrome™",,,,,,,
